cnpj_basico;cnpj_ordem;cnpj_dv;nome_fantasia;situacao;data_situacao;data_inicio;cnae_fiscal;bairro;municipio;Nome_Cidade;razao_social;capital_social;porte;opcao_simples;opcao_mei
56194281;0001;15;;02;20240801;20240801;4923001;VILA TEREZA;4305;Carmo da Mata;56.194.281 JAIR RIBEIRO FILHO;1000,00;01;S;20240801
56348853;0001;73;;02;20240807;20240807;4321500;LEONARDO;4305;Carmo da Mata;56.348.853 LURINEN DA SILVA FERRAZ;5000,00;01;S;20240807
56473524;0001;54;;08;20241231;20240812;9492800;CENTRO;4305;Carmo da Mata;ELEICAO 2024 ANSELMO LOPES FERREIRA VEREADOR;0,00;05;;
56475051;0001;24;;08;20241231;20240812;9492800;IBRAIM MENDONCA;4305;Carmo da Mata;ELEICAO 2024 ANTONIO BATISTA PEREIRA VEREADOR;0,00;05;;
56582275;0001;35;;02;20240812;20240812;8599604;CENTRO;4305;Carmo da Mata;56.582.275 NAYANA CRISTINE DA SILVA;20000,00;01;S;20240812
56653962;0001;02;;08;20241231;20240813;9492800;PAMPULHA;4305;Carmo da Mata;ELEICAO 2024 ANTONIO GILMAR DE OLIVEIRA VEREADOR;0,00;05;;
56694130;0001;26;;08;20241231;20240814;9492800;LEONARDO;4305;Carmo da Mata;ELEICAO 2024 LETICIA AMANCIO DA SILVA VEREADOR;0,00;05;;
56698282;0001;05;;08;20241231;20240814;9492800;LEONARDO;4305;Carmo da Mata;ELEICAO 2024 MARIA JOSE BOVARETO FERNANDES FRASCAROLI VEREADOR;0,00;05;;
56698660;0001;42;;08;20241231;20240814;9492800;PRIMAVERA;4305;Carmo da Mata;ELEICAO 2024 MARCOS ROSA DA SILVA VEREADOR;0,00;05;;
56700589;0001;95;;08;20241231;20240814;9492800;SOL NASCENTE;4305;Carmo da Mata;ELEICAO 2024 LEONARDO DIAS DE OLIVEIRA VEREADOR;0,00;05;;
56850943;0001;68;;08;20241231;20240815;9492800;SAO CRISTOVAO;4305;Carmo da Mata;ELEICAO 2024 DARLEI DE MELO CORREA VEREADOR;0,00;05;;
56852860;0001;08;;08;20241231;20240815;9492800;POPULAR;4305;Carmo da Mata;ELEICAO 2024 JOSE FERNANDES AFFONSO JUNIOR VICE-PREFEITO;0,00;05;;
56852944;0001;41;;08;20241231;20240815;9492800;THOME;4305;Carmo da Mata;ELEICAO 2024 MICHELLE CRUZ PEREIRA OLIVEIRA FREITAS VEREADOR;0,00;05;;
56855002;0001;17;;08;20241231;20240815;9492800;THOME;4305;Carmo da Mata;ELEICAO 2024 FRANCIELI BRAGA COSTA VEREADOR;0,00;05;;
56856712;0001;61;;08;20241231;20240815;9492800;VILA DOMINGOS LOPES;4305;Carmo da Mata;ELEICAO 2024 JOSE FRANCISCO FERREIRA VEREADOR;0,00;05;;
56861430;0001;52;;08;20241231;20240815;9492800;BEIRA RIO;4305;Carmo da Mata;ELEICAO 2024 LEONARDO AUGUSTO DE SOUSA VEREADOR;0,00;05;;
56890522;0001;60;;08;20241231;20240817;9492800;JOAO RIGUETE;4305;Carmo da Mata;ELEICAO 2024 VALDELIR DE PAULA OLIVEIRA MARQUES VEREADOR;0,00;05;;
56890533;0001;40;;08;20241231;20240817;9492800;LEONARDO;4305;Carmo da Mata;ELEICAO 2024 CASSIANE DE OLIVEIRA GONCALVES VEREADOR;0,00;05;;
56903771;0001;43;;08;20241231;20240819;9492800;SAO CRISTOVAO;4305;Carmo da Mata;ELEICAO 2024 GELSON FERNANDES VEREADOR;0,00;05;;
56932952;0001;06;;02;20240820;20240820;4520002;SAO DINIZ;4305;Carmo da Mata;56.932.952 ELIAS DOS SANTOS DA SILVA;5000,00;01;S;20240820
46696501;0001;55;;04;20240821;20220607;8130300;SAO MARCOS;4305;Carmo da Mata;HUMBERTO GONCALVES LOPES 05747973606;4000,00;01;S;20220607
57007394;0001;27;;02;20240826;20240826;4321500;JARDIM BANDEIRANTES I;4305;Carmo da Mata;57.007.394 PAULO CESAR MARQUES DE ARAUJO JUNIOR;1000,00;01;S;20240826
57098292;0001;64;;08;20250731;20240901;8599603;INDEPENDENCIA;4305;Carmo da Mata;57.098.292 THIAGO AZEVEDO DA MOTA;1000,00;01;N;20240901
57124002;0001;00;;02;20240903;20240903;5229099;DICO LEITE;4305;Carmo da Mata;57.124.002 ROGERIO DE ANDRADE OLIVEIRA;10000,00;01;S;20240903
